"session","exam","year","question_id","subquestion_id","type","marks","AO","spec_reference","question_text","mark_scheme","extra_notes","question_page_start","question_page_end","mark_scheme_start_page","mark_scheme_end_page","has_figure","figure_labels_joined","has_table","table_labels_joined","source_qp","source_ms"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.1","multiple choice","1","AO1","5.2.1.3","Figure 1 shows part of the structure of calcium oxide (CaO).
Figure 1
What type of bonding is present in calcium oxide?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | Covalent |
| ☐ | Ionic |
| ☐ | Macromolecular |
| ☐ | Metallic |","ionic","","2","2","10","10","true","Figure 1","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.2","multiple choice","1","AO1","5.2.1.4","Figure 2 shows a particle of methane (CH4).
Figure 2
What type of particle is present in Figure 2?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | An ion |
| ☐ | A lattice |
| ☐ | A molecule |
| ☐ | A polymer |","a molecule","","3","3","10","10","true","Figure 2","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.3","short answer","1","AO1","5.2.3.3","Figure 3 shows the structure of C60
Figure 3
Complete the sentence. 
Choose the answer from the box.
[1 mark]
diatomic  giant ionic  a fullerene  giant metallic
The structure of C60 is ____________________.","a fullerene","","3","3","10","10","true","Figure 3","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.4","multiple choice","1","AO1","5.2.3.2","Figure 4 shows the structure of graphite.
Figure 4
What type of bond is labelled A in Figure 4?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | covalent |
| ☐ | double |
| ☐ | ionic |
| ☐ | metallic |","covalent","","4","4","10","10","true","Figure 4","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.5","multiple choice","1","AO1","5.2.3.2","In graphite, each carbon atom forms bonds with other carbon atoms as shown in Figure 4
How many electrons does one carbon atom use to form one bond?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | 1 |
| ☐ | 2 |
| ☐ | 3 |
| ☐ | 4 |
| ☐ | 5 |","1","","4","4","10","10","true","Figure 4","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.6","short answer","1","AO1","5.2.2.8","An electric current is passed through copper.
Figure 5 shows the apparatus used.
Figure 5
Complete the sentence. 
Choose the answer from the box.
[1 mark]
gas  liquid  solid  solution
Figure 5 shows that copper conducts electricity as a ____________________.","solid","","5","5","10","10","true","Figure 5","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.7","short answer","1","AO1","5.2.2.8","Complete the sentence. 
Choose the answer from the box.
[1 mark]
atoms electrons ions molecules
Copper conducts electricity because of the movement of delocalised ____________________.","electrons","","5","5","10","10","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.8","short answer","1","AO1","5.2.2.3","Figure 6 shows the apparatus used to investigate the effect of electricity on sodium chloride solution. 
Figure 6
Complete the sentence. 
Choose the answer from the box.
[1 mark]
dissolved  gaseous  molten
Figure 6 shows that sodium chloride conducts electricity when ____________________.","dissolved","","6","6","10","10","true","Figure 6","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","1","01.9","table completion","2","AO1","5.2.2.3","Sodium chloride is made up of ions.
Figure 7 shows the apparatus used to investigate the effect of electricity on solid sodium chloride and molten sodium chloride.
Figure 7
Table 1 shows the results.

Table 1
|                       | Solid sodium chloride             | Molten sodium chloride           |
|-----------------------|----------------------------------|----------------------------------|
| Observation           | The filament bulb does not light up | The filament bulb lights up      |
| Deduction             | Does not conduct electricity      | Does conduct electricity         |

Draw one line from each statement to the correct reason.
[2 marks]

| Statement                                 | Reason                |
|-------------------------------------------|-----------------------|
| Solid sodium chloride does not conduct electricity. | The ions are fixed.  |
|                                           | The ions are mobile.  |
|                                           | The ions are neutral. |
|                                           | The ions are vibrating.|
| Molten sodium chloride conducts electricity.        | The ions are fixed.  |
|                                           | The ions are mobile.  |
|                                           | The ions are neutral. |
|                                           | The ions are vibrating.|","do not accept if more than 1 line from 1 box","do not accept if more than 1 line 
from 1 box","7","8","10","10","true","Figure 7","true","Table 1","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
"JUN18","AQA GCSE Combined Science: Chemistry Paper 1F, 2018","2018","2","02.1","multiple choice","1","AO1","5.1.2.6","Which group in the periodic table is known as the halogens?
[1 mark]
Tick one box.
|   |   |
|---|---|
| ☐ | Group 1 |
| ☐ | Group 2 |
| ☐ | Group 7 |
| ☐ | Group 0 |","group 7","","8","8","11","11","false","","false","","C1F Papers and Mark Schemes\AQA-8464C1F-QP-JUN18.PDF","C1F Papers and Mark Schemes\AQA-8464C1F-W-MS-JUN18.PDF"
